"","x"
"495","Naive CD4+ T"
"496","NK"
"497","B"
"498","B"
"499","NK"
"500","Naive CD4+ T"
"501","Effector CD4+ T"
"502","Naive CD4+ T"
"503","Naive CD4+ T"
"504","Effector CD4+ T"
"505","Effector CD8+ T"
"506","Effector CD4+ T"
"507","Monocytes"
"508","Effector CD4+ T"
"509","Naive CD8+ T"
"510","Naive CD4+ T"
"511","NK"
"512","NK"
"513","Naive CD4+ T"
"514","Naive CD4+ T"
"515","Monocytes"
"516","B"
"517","Naive CD8+ T"
"518","Monocytes"
"519","Effector CD4+ T"
"520","Effector CD4+ T"
"521","NK"
"522","Monocytes"
"523","Effector CD4+ T"
"524","NK"
"525","Effector CD8+ T"
"526","Naive CD8+ T"
"527","Monocytes"
"528","Naive CD8+ T"
"529","Naive CD8+ T"
"530","B"
"531","Effector CD4+ T"
"532","Naive CD4+ T"
"533","B"
"534","NK"
"535","Effector CD8+ T"
"536","Monocytes"
"537","B"
"538","Effector CD4+ T"
"539","B"
"540","Naive CD8+ T"
"541","B"
"542","B"
"543","Monocytes"
"544","Naive CD8+ T"
"545","Effector CD8+ T"
"546","NK"
"547","Naive CD4+ T"
"548","Naive CD4+ T"
"549","Naive CD4+ T"
"550","Naive CD4+ T"
"551","Monocytes"
"552","Monocytes"
"553","B"
"554","Naive CD4+ T"
"555","NK"
"556","NK"
"557","Naive CD8+ T"
"558","Monocytes"
"559","unknown"
"560","Naive CD8+ T"
"561","Monocytes"
"562","DC"
"563","DC"
"564","Monocytes"
"565","Naive CD4+ T"
"566","Monocytes"
"567","NK"
"568","Monocytes"
"569","B"
"570","Naive CD4+ T"
"571","Monocytes"
"572","NK"
"573","B"
"574","Monocytes"
"575","B"
"576","Naive CD8+ T"
"577","Naive CD4+ T"
"578","NK"
"579","Effector CD8+ T"
"580","unknown"
"581","Effector CD8+ T"
"582","B"
"583","B"
"584","Naive CD8+ T"
"585","Naive CD8+ T"
"586","Naive CD4+ T"
"587","Naive CD4+ T"
"588","NK"
"589","B"
"590","Effector CD4+ T"
"591","B"
"592","NK"
"593","Naive CD4+ T"
"594","B"
"595","Naive CD4+ T"
"596","Naive CD4+ T"
"597","Naive CD4+ T"
"598","Effector CD4+ T"
"599","Naive CD4+ T"
"600","B"
"601","DC"
"602","Monocytes"
"603","Naive CD8+ T"
"604","Effector CD4+ T"
"605","Effector CD4+ T"
"606","Naive CD8+ T"
"607","Effector CD8+ T"
"608","Effector CD4+ T"
"609","Monocytes"
"610","Naive CD4+ T"
"611","Naive CD4+ T"
"612","B"
"613","Monocytes"
"614","NK"
"615","Naive CD4+ T"
"616","NK"
"617","B"
"618","B"
"619","Naive CD4+ T"
"620","Effector CD8+ T"
"621","Monocytes"
"622","B"
"623","unknown"
"624","B"
"625","Effector CD4+ T"
"626","DC"
"627","NK"
"628","Naive CD4+ T"
"629","B"
"630","Naive CD8+ T"
"631","Effector CD8+ T"
"632","Naive CD8+ T"
"633","unknown"
"634","B"
"635","Naive CD8+ T"
"636","B"
"637","Monocytes"
"638","Naive CD4+ T"
"639","Naive CD4+ T"
"640","B"
"641","Naive CD4+ T"
"642","B"
"643","Effector CD8+ T"
"644","Naive CD4+ T"
"645","B"
"646","Naive CD8+ T"
"647","Naive CD4+ T"
"648","Monocytes"
"649","Effector CD8+ T"
"650","Effector CD4+ T"
"651","Monocytes"
"652","Naive CD4+ T"
"653","Naive CD4+ T"
"654","B"
"655","NK"
"656","Monocytes"
"657","B"
"658","Effector CD4+ T"
"659","Naive CD8+ T"
"660","Monocytes"
"661","Monocytes"
"662","Effector CD4+ T"
"663","NK"
"664","NK"
"665","B"
"666","Naive CD4+ T"
"667","B"
"668","Monocytes"
"669","Naive CD8+ T"
"670","NK"
"671","Monocytes"
"672","B"
"673","NK"
"674","DC"
"675","NK"
"676","Effector CD8+ T"
"677","Effector CD8+ T"
"678","Naive CD4+ T"
"679","NK"
"680","Effector CD8+ T"
"681","Naive CD4+ T"
"682","Naive CD4+ T"
"683","B"
"684","NK"
"685","B"
"686","Monocytes"
"687","B"
"688","DC"
"689","Effector CD4+ T"
"690","B"
"691","Naive CD8+ T"
"692","B"
"693","Naive CD4+ T"
"694","Naive CD4+ T"
"695","NK"
"696","Naive CD4+ T"
"697","unknown"
"698","Effector CD4+ T"
"699","NK"
"700","NK"
"701","Effector CD4+ T"
"702","Naive CD4+ T"
"703","NK"
"704","Naive CD8+ T"
"705","DC"
"706","Effector CD8+ T"
"707","Monocytes"
"708","B"
"709","B"
"710","B"
"711","Monocytes"
"712","unknown"
"713","Naive CD8+ T"
"714","Naive CD4+ T"
"715","Naive CD8+ T"
"716","Monocytes"
"717","Naive CD8+ T"
"718","Effector CD8+ T"
"719","Effector CD4+ T"
"720","Monocytes"
"721","DC"
"722","Effector CD8+ T"
"723","Effector CD4+ T"
"724","NK"
"725","Effector CD4+ T"
"726","Effector CD4+ T"
"727","Effector CD4+ T"
"728","Monocytes"
"729","unknown"
"730","Naive CD8+ T"
"731","Effector CD8+ T"
"732","Naive CD4+ T"
"733","Effector CD8+ T"
"734","Naive CD4+ T"
"735","Monocytes"
"736","NK"
"737","NK"
"738","NK"
"739","Monocytes"
"740","Effector CD4+ T"
"741","Monocytes"
"742","Monocytes"
"743","Monocytes"
"744","Naive CD4+ T"
"745","Naive CD4+ T"
"746","NK"
"747","Naive CD4+ T"
"748","Effector CD4+ T"
"749","Naive CD8+ T"
"750","Effector CD8+ T"
"751","unknown"
"752","Naive CD4+ T"
"753","NK"
"754","Naive CD4+ T"
"755","B"
"756","Naive CD8+ T"
"757","NK"
"758","Naive CD4+ T"
"759","NK"
"760","Effector CD4+ T"
"761","Naive CD4+ T"
"762","Naive CD8+ T"
"763","Naive CD8+ T"
"764","Effector CD4+ T"
"765","NK"
"766","NK"
"767","Effector CD4+ T"
"768","Effector CD4+ T"
"769","Naive CD8+ T"
"770","B"
"771","Naive CD8+ T"
"772","Naive CD4+ T"
"773","Monocytes"
"774","Monocytes"
"775","Effector CD4+ T"
"776","Naive CD4+ T"
"777","Effector CD8+ T"
"778","NK"
"779","B"
"780","B"
"781","Naive CD4+ T"
"782","Monocytes"
"783","Naive CD8+ T"
"784","NK"
"785","NK"
"786","B"
"787","Monocytes"
"788","Naive CD4+ T"
"789","Monocytes"
"790","Naive CD4+ T"
"791","NK"
"792","Naive CD4+ T"
"793","Naive CD4+ T"
"794","B"
"795","Effector CD4+ T"
"796","Effector CD4+ T"
"797","Effector CD8+ T"
"798","Effector CD4+ T"
"799","NK"
"800","Naive CD4+ T"
"801","NK"
"802","Naive CD8+ T"
"803","Naive CD4+ T"
"804","B"
"805","Effector CD4+ T"
"806","NK"
"807","Effector CD4+ T"
"808","Naive CD4+ T"
"809","Monocytes"
"810","Naive CD4+ T"
"811","Naive CD8+ T"
"812","B"
"813","Effector CD8+ T"
"814","Naive CD8+ T"
"815","NK"
"816","Naive CD4+ T"
"817","Effector CD4+ T"
"818","Naive CD4+ T"
"819","Effector CD4+ T"
"820","NK"
"821","Naive CD8+ T"
"822","Naive CD4+ T"
"823","Effector CD4+ T"
"824","Naive CD8+ T"
"825","Monocytes"
"826","Naive CD8+ T"
"827","Naive CD4+ T"
"828","Effector CD4+ T"
"829","Naive CD8+ T"
"830","NK"
"831","B"
"832","unknown"
"833","Naive CD4+ T"
"834","Naive CD4+ T"
"835","Effector CD4+ T"
"836","B"
"837","DC"
"838","Naive CD4+ T"
"839","Monocytes"
"840","Effector CD4+ T"
"841","unknown"
"842","NK"
"843","unknown"
"844","Naive CD4+ T"
"845","Naive CD4+ T"
"846","Effector CD8+ T"
"847","Naive CD4+ T"
"848","NK"
"849","DC"
"850","Naive CD4+ T"
"851","B"
"852","Naive CD4+ T"
"853","B"
"854","Naive CD8+ T"
"855","Naive CD8+ T"
"856","Naive CD4+ T"
"857","Naive CD4+ T"
"858","Naive CD8+ T"
"859","Naive CD4+ T"
"860","Effector CD8+ T"
"861","Naive CD4+ T"
"862","Monocytes"
"863","Naive CD8+ T"
"864","Naive CD4+ T"
"865","Effector CD8+ T"
"866","Effector CD4+ T"
"867","NK"
"868","Naive CD4+ T"
"869","NK"
"870","Naive CD4+ T"
"871","Effector CD4+ T"
"872","Naive CD4+ T"
"873","Naive CD8+ T"
"874","NK"
"875","B"
"876","B"
"877","Effector CD4+ T"
"878","Naive CD4+ T"
"879","B"
"880","Naive CD4+ T"
"881","Naive CD4+ T"
"882","unknown"
"883","Effector CD4+ T"
"884","NK"
"885","Monocytes"
"886","NK"
"887","Effector CD8+ T"
"888","unknown"
"889","NK"
"890","Naive CD8+ T"
"891","Naive CD4+ T"
"892","Effector CD4+ T"
"893","DC"
"894","Naive CD4+ T"
"895","DC"
"896","Effector CD4+ T"
"897","Monocytes"
"898","Monocytes"
"899","B"
"900","Naive CD4+ T"
"901","Effector CD8+ T"
"902","Effector CD8+ T"
"903","Naive CD8+ T"
"904","Naive CD4+ T"
"905","Effector CD8+ T"
"906","Naive CD8+ T"
"907","B"
"908","NK"
"909","Naive CD8+ T"
"910","Effector CD8+ T"
"911","Naive CD4+ T"
"912","Naive CD8+ T"
"913","Effector CD4+ T"
"914","NK"
"915","Naive CD4+ T"
"916","unknown"
"917","NK"
"918","Naive CD8+ T"
"919","Naive CD4+ T"
"920","Naive CD8+ T"
"921","B"
"922","Naive CD4+ T"
"923","NK"
"924","Effector CD8+ T"
"925","Naive CD4+ T"
"926","Monocytes"
"927","Naive CD4+ T"
"928","Naive CD8+ T"
"929","Naive CD4+ T"
"930","unknown"
"931","Monocytes"
"932","Monocytes"
"933","Naive CD4+ T"
"934","Effector CD8+ T"
"935","Effector CD4+ T"
"936","Naive CD4+ T"
"937","Effector CD4+ T"
"938","B"
"939","Naive CD4+ T"
"940","NK"
"941","unknown"
"942","NK"
"943","Naive CD4+ T"
"944","NK"
"945","B"
"946","NK"
"947","Effector CD8+ T"
"948","Naive CD4+ T"
"949","Naive CD4+ T"
"950","Monocytes"
"951","Naive CD4+ T"
"952","Monocytes"
"953","Naive CD4+ T"
"954","Effector CD4+ T"
"955","Effector CD8+ T"
"956","NK"
"957","NK"
"958","Naive CD8+ T"
"959","Naive CD4+ T"
"960","Naive CD4+ T"
"961","Naive CD4+ T"
"962","NK"
"963","NK"
"964","unknown"
"965","Naive CD4+ T"
"966","Naive CD8+ T"
"967","Effector CD4+ T"
"968","NK"
"969","Naive CD8+ T"
"970","Naive CD8+ T"
"971","Monocytes"
"972","B"
"973","Effector CD8+ T"
"974","Effector CD4+ T"
"975","Naive CD8+ T"
"976","Effector CD4+ T"
"977","Naive CD4+ T"
"978","B"
"979","B"
"980","Naive CD4+ T"
"981","unknown"
"982","NK"
"983","Monocytes"
"984","NK"
"985","NK"
"986","Effector CD4+ T"
"987","Naive CD4+ T"
"988","Naive CD4+ T"
"989","Naive CD4+ T"
"990","Naive CD4+ T"
"991","Naive CD8+ T"
"992","B"
"993","Monocytes"
"994","Monocytes"
"995","Naive CD8+ T"
"996","Naive CD4+ T"
"997","Naive CD8+ T"
"998","Naive CD4+ T"
"999","Effector CD8+ T"
"1000","Naive CD8+ T"
"1001","NK"
"1002","NK"
"1003","Monocytes"
"1004","Naive CD4+ T"
"1005","Effector CD4+ T"
"1006","Effector CD4+ T"
"1007","NK"
"1008","B"
"1009","Naive CD4+ T"
"1010","Naive CD4+ T"
"1011","Monocytes"
"1012","Effector CD8+ T"
"1013","Effector CD4+ T"
"1014","Monocytes"
"1015","Effector CD8+ T"
"1016","B"
"1017","Monocytes"
"1018","Naive CD4+ T"
"1019","B"
"1020","Effector CD4+ T"
"1021","Effector CD4+ T"
"1022","Effector CD4+ T"
"1023","Effector CD8+ T"
"1024","Naive CD4+ T"
"1025","Naive CD4+ T"
"1026","NK"
"1027","Effector CD8+ T"
"1028","NK"
"1029","Effector CD8+ T"
"1030","NK"
"1031","Effector CD8+ T"
"1032","NK"
"1033","Effector CD8+ T"
"1034","Effector CD4+ T"
"1035","Monocytes"
"1036","unknown"
"1037","Naive CD8+ T"
"1038","Naive CD4+ T"
"1039","DC"
"1040","Effector CD4+ T"
"1041","Effector CD4+ T"
"1042","Naive CD4+ T"
"1043","DC"
"1044","Effector CD4+ T"
"1045","Monocytes"
"1046","NK"
"1047","Naive CD4+ T"
"1048","B"
"1049","unknown"
"1050","NK"
"1051","Monocytes"
"1052","Naive CD8+ T"
"1053","Naive CD4+ T"
"1054","Naive CD4+ T"
"1055","Effector CD4+ T"
"1056","Naive CD4+ T"
"1057","Naive CD4+ T"
"1058","Effector CD4+ T"
"1059","Effector CD4+ T"
"1060","Monocytes"
"1061","DC"
"1062","B"
"1063","Naive CD4+ T"
"1064","Naive CD8+ T"
"1065","Monocytes"
"1066","Naive CD4+ T"
"1067","Naive CD4+ T"
"1068","Naive CD8+ T"
"1069","Monocytes"
"1070","NK"
"1071","unknown"
"1072","Effector CD4+ T"
"1073","Naive CD4+ T"
"1074","unknown"
"1075","B"
"1076","Naive CD4+ T"
"1077","Naive CD8+ T"
"1078","Naive CD4+ T"
"1079","Naive CD4+ T"
"1080","Effector CD4+ T"
"1081","NK"
"1082","NK"
"1083","Monocytes"
"1084","Naive CD8+ T"
"1085","B"
"1086","Effector CD4+ T"
"1087","Effector CD4+ T"
"1088","NK"
"1089","Effector CD4+ T"
"1090","Naive CD4+ T"
"1091","Naive CD4+ T"
"1092","NK"
"1093","Naive CD8+ T"
"1094","Effector CD4+ T"
"1095","Monocytes"
"1096","unknown"
"1097","Naive CD4+ T"
"1098","Naive CD4+ T"
"1099","NK"
"1100","NK"
"1101","NK"
"1102","Naive CD4+ T"
"1103","Naive CD4+ T"
"1104","Effector CD4+ T"
"1105","Naive CD8+ T"
"1106","Effector CD8+ T"
"1107","Naive CD8+ T"
"1108","Effector CD4+ T"
"1109","NK"
"1110","Naive CD8+ T"
"1111","Naive CD4+ T"
"1112","NK"
"1113","Naive CD4+ T"
"1114","Effector CD4+ T"
"1115","Effector CD4+ T"
"1116","Effector CD4+ T"
"1117","Effector CD8+ T"
"1118","unknown"
"1119","Naive CD4+ T"
"1120","Naive CD4+ T"
"1121","Naive CD4+ T"
"1122","Naive CD4+ T"
"1123","Naive CD8+ T"
"1124","Naive CD8+ T"
"1125","Monocytes"
"1126","NK"
"1127","B"
"1128","Effector CD4+ T"
"1129","Naive CD8+ T"
"1130","Naive CD4+ T"
"1131","Naive CD4+ T"
"1132","Naive CD4+ T"
"1133","NK"
"1134","Naive CD4+ T"
"1135","Naive CD8+ T"
"1136","Naive CD4+ T"
"1137","Effector CD8+ T"
"1138","NK"
"1139","NK"
"1140","Naive CD4+ T"
"1141","Naive CD8+ T"
"1142","Naive CD4+ T"
"1143","NK"
"1144","Naive CD4+ T"
"1145","Naive CD4+ T"
"1146","Effector CD8+ T"
"1147","NK"
"1148","Naive CD4+ T"
"1149","Naive CD4+ T"
"1150","Effector CD8+ T"
"1151","unknown"
"1152","NK"
"1153","Effector CD8+ T"
"1154","Monocytes"
"1155","Naive CD4+ T"
"1156","Effector CD4+ T"
"1157","Naive CD4+ T"
"1158","Effector CD8+ T"
"1159","NK"
"1160","Monocytes"
"1161","DC"
"1162","Monocytes"
"1163","Naive CD4+ T"
"1164","B"
"1165","Effector CD4+ T"
"1166","Naive CD8+ T"
"1167","Naive CD4+ T"
"1168","NK"
"1169","Effector CD8+ T"
"1170","NK"
"1171","Effector CD4+ T"
"1172","NK"
"1173","Naive CD8+ T"
"1174","Naive CD8+ T"
"1175","Naive CD4+ T"
"1176","B"
"1177","Effector CD4+ T"
"1178","Monocytes"
"1179","Monocytes"
"1180","NK"
"1181","Effector CD4+ T"
"1182","Naive CD4+ T"
"1183","Naive CD4+ T"
"1184","Naive CD8+ T"
"1185","Effector CD4+ T"
"1186","Monocytes"
"1187","NK"
"1188","Naive CD4+ T"
"1189","Monocytes"
"1190","B"
"1191","unknown"
"1192","NK"
"1193","B"
"1194","Effector CD4+ T"
"1195","Effector CD4+ T"
"1196","Naive CD4+ T"
"1197","Naive CD4+ T"
"1198","NK"
"1199","Naive CD4+ T"
"1200","NK"
"1201","DC"
"1202","Effector CD4+ T"
"1203","Naive CD4+ T"
"1204","Naive CD8+ T"
"1205","Naive CD4+ T"
"1206","Naive CD4+ T"
"1207","Effector CD8+ T"
"1208","Naive CD4+ T"
"1209","Effector CD4+ T"
"1210","Effector CD4+ T"
"1211","Naive CD8+ T"
"1212","Monocytes"
"1213","Naive CD4+ T"
"1214","Monocytes"
"1215","B"
"1216","Naive CD4+ T"
"1217","Effector CD4+ T"
"1218","Naive CD8+ T"
"1219","Effector CD4+ T"
"1220","Naive CD4+ T"
"1221","Effector CD4+ T"
"1222","Effector CD4+ T"
"1223","Naive CD4+ T"
"1224","Effector CD4+ T"
"1225","Effector CD4+ T"
"1226","Effector CD4+ T"
"1227","Naive CD8+ T"
"1228","Monocytes"
"1229","Naive CD4+ T"
"1230","Naive CD8+ T"
"1231","NK"
"1232","Naive CD8+ T"
"1233","Naive CD4+ T"
"1234","Effector CD8+ T"
"1235","Naive CD8+ T"
"1236","Monocytes"
"1237","Effector CD4+ T"
"1238","Effector CD8+ T"
"1239","Naive CD4+ T"
"1240","Naive CD4+ T"
"1241","Naive CD8+ T"
"1242","Naive CD8+ T"
"1243","Naive CD8+ T"
"1244","Effector CD8+ T"
"1245","Naive CD8+ T"
"1246","NK"
"1247","NK"
"1248","Effector CD4+ T"
"1249","Effector CD8+ T"
"1250","Effector CD4+ T"
"1251","Naive CD4+ T"
"1252","Naive CD4+ T"
"1253","Effector CD4+ T"
"1254","B"
"1255","Naive CD4+ T"
"1256","NK"
"1257","B"
"1258","Naive CD4+ T"
"1259","NK"
"1260","Naive CD8+ T"
"1261","Naive CD4+ T"
"1262","Effector CD8+ T"
"1263","Naive CD4+ T"
"1264","Monocytes"
"1265","NK"
"1266","Effector CD8+ T"
"1267","DC"
"1268","Naive CD4+ T"
"1269","Naive CD8+ T"
"1270","Naive CD4+ T"
"1271","Naive CD8+ T"
"1272","Naive CD4+ T"
"1273","Naive CD8+ T"
"1274","NK"
"1275","Monocytes"
"1276","B"
"1277","NK"
"1278","Monocytes"
"1279","Monocytes"
"1280","Effector CD4+ T"
"1281","unknown"
"1282","B"
"1283","Naive CD4+ T"
"1284","B"
"1285","Naive CD4+ T"
"1286","Effector CD8+ T"
"1287","NK"
"1288","Naive CD4+ T"
"1289","Naive CD8+ T"
"1290","Monocytes"
"1291","B"
"1292","Naive CD4+ T"
"1293","Monocytes"
"1294","Effector CD4+ T"
"1295","Effector CD8+ T"
"1296","Effector CD4+ T"
"1297","Naive CD4+ T"
"1298","NK"
"1299","Naive CD4+ T"
"1300","Effector CD8+ T"
"1301","Naive CD4+ T"
"1302","Naive CD4+ T"
"1303","NK"
